Timestamp,Battery (%),Charging,CPU Usage (%),RAM Usage (%),Disk Usage (%)
2026-01-12 16:11:13,63,True,14.9,65.6,51.1
2026-04-14 18:40:58,77,True,23.5,93.6,55.6
